x,y,z,d_x,d_y,d_z,fi,thetta,psi,d_fi,d_thetta,d_psi,Outcome
-0.0000487,-0.000199254,-0.00000161,0.000049,0.000200252,0.00000783,-0.0000203,0.00000497,-0.0000386,0.0000204,-0.00000499,0.0000404,0
-0.109859919,-0.138812253,-0.116277621,0.012500551,-0.181888725,-0.058560328,-0.039903279,-0.074405592,-0.114851389,0.642311647,0.323032341,-0.020952862,1
-0.077281231,-0.067547836,-0.074612831,0.292893814,0.338143816,0.310284479,-0.114126315,-0.095231197,-0.076208532,0.941694667,0.580708775,0.306599046,1
-0.836120243,-1.124845354,-0.940987348,0.914703955,-0.533697644,0.353099789,0.114960431,-0.116836098,-0.470501487,1.308019,1.14895436,0.291579802,0
-0.0000247,-0.000100945,0.000000919,0.0000248,0.000101452,0.00000113,-0.0000103,0.00000252,-0.000019,0.0000103,-0.00000253,0.0000199,0
-0.045872334,0.048392107,-0.007232483,-0.164925424,-0.073237191,-0.122268491,-0.099641089,-0.082531388,-0.022950709,-0.887129252,-0.503867242,-0.144806472,1
-0.235505609,-0.939084742,-0.518877829,-0.41502318,-0.814419995,-0.718518319,0.44138207,0.342766562,-0.097138452,-3.83057958,-2.119488287,-0.947393983,1
-0.000754639,-0.003086181,-0.000536259,0.000759117,0.003100905,0.000833594,-0.000314069,0.0000772,-0.000672327,0.000314384,-0.0000777,0.00070503,0
-0.001707407,-0.558896741,-0.287598643,0.339985559,0.776138983,0.513629658,0.135244028,0.18572298,-0.054988802,-0.499309131,-0.158449947,0.328603737,1
-0.013280195,-0.130527507,-0.05059211,11.62395725,11.35102326,11.5129895,0.13212039,0.069519929,-0.033636826,11.88577119,11.77649132,11.55773077,1
-0.301707344,-0.265850733,-0.29062815,1.205641243,0.954915545,1.14967726,-0.279171221,-0.296189529,-0.295692982,3.621708448,2.33222117,1.197704875,1
-0.002432234,-0.009936043,-0.002995162,0.002437729,0.009986155,0.004239071,-0.001017249,0.000244338,-0.002278485,0.001042075,-0.000239133,0.002389312,0
0.080268396,0.034928668,0.065653494,0.239424212,0.020756289,0.18174054,0.180280853,0.136409816,0.079705241,0.520686544,0.390304032,0.201548327,1
-0.00000163,-0.00000665,0.000000178,0.00000163,0.00000668,-0.000000194,-0.000000678,0.000000166,-0.00000111,0.000000681,-0.000000167,0.00000117,0
0.030693892,-0.252245893,-0.130230315,0.204262049,0.462426281,0.357444101,0.109089383,0.13567251,0.011969845,-0.73174678,-0.284630762,0.21795473,1
-0.129523765,-0.098778995,-0.121023873,-3.712571073,-3.343384504,-3.593675692,-0.302584075,-0.211704764,-0.126671931,-2.857963173,-3.374091134,-3.64251687,1
0.263029095,0.237798078,0.254634079,-1.328001619,-0.925480516,-1.224056913,0.17234749,0.22527806,0.257810711,-3.487997066,-2.358491056,-1.292760265,1
-0.408179402,-1.095523756,-0.686077202,0.944451752,0.295040627,0.574050668,0.328736087,0.199359543,-0.260323211,-1.098048055,-0.106649825,0.385454371,1
0.102559996,0.084509431,0.097600757,0.148,0.0785,0.12,0.158720954,0.130351082,0.100465545,-0.784,-0.265,0.126,1
-0.041671953,-0.036061562,-0.039809687,0.398377475,0.30961935,0.375439105,-0.019937343,-0.032564965,-0.040515412,0.802210746,0.592800925,0.390398129,1
-0.001335247,-0.005455328,-0.001264644,0.001343207,0.005477654,0.001871753,-0.00055474,0.000136049,-0.001218478,0.000558843,-0.000134582,0.001277746,0
-0.113470505,-0.125720195,-0.114757399,0.026297475,-0.221247659,-0.046101982,-0.027142821,-0.071666387,-0.112900991,0.606296905,0.320099785,-0.008733612,1
0.097275754,0.029874586,0.045646198,0.038683251,0.365341999,0.205471607,0.044528005,0.102246338,0.1123271,-0.750230949,-0.379859123,0.076922013,1
0.095314761,0.080133011,0.092157191,0.201550076,0.011844179,0.140962506,0.183623288,0.137518458,0.094362082,-0.206597051,0.0413,0.166838445,1
-0.041883808,-0.116577129,-0.07687808,0.459419069,0.42953368,0.476760488,0.009807057,0.002228272,-0.041354769,0.561699096,0.498732205,0.446012638,1
0.095269336,0.072474806,0.09072079,0.189999951,0.037830289,0.139562704,0.178500042,0.136994621,0.094043579,-0.429833686,-0.071802444,0.157999803,1
